Location1,Definition1,Identifier1,Location2,Definition2,Identifier2,Location3,Definition3,Identifier3,Location4,Definition4,Identifier4,Location5,Definition5,Identifier5,Location6,Definition6,Identifier6,Location7,Definition7,Identifier7,Location8,Definition8,Identifier8,Location9,Definition9,Identifier9,Location10,Definition10,Identifier10,Location11,Definition11,Identifier11,Location12,Definition12,Identifier12,Location13,Definition13,Identifier13,Location14,Definition14,Identifier14,Location15,Definition15,Identifier15,Location16,Definition16,Identifier16,Location17,Definition17,Identifier17,Location18,Definition18,Identifier18,Location19,Definition19,Identifier19,Location20,Definition20,Identifier20
Davis,United States tennis player who donated the Davis Cup for international team tennis competition (1879-1945),davis.n.05,Davis,American statesman; president of the Confederate States of America during the American Civil War (1808-1889),davis.n.04,Davis,United States jazz musician; noted for his trumpet style (1926-1991),davis.n.03,Davis,United States painter who developed an American version of cubism (1894-1964),davis.n.02,Davis,English navigator who explored the Arctic while searching for the Northwest Passage (1550-1605),davys.n.01,Decatur,United States naval officer remembered for his heroic deeds (1779-1820),decatur.n.01,De Forest,United States electrical engineer who in 1907 patented the first triode vacuum tube which made it possible to detect and amplify radio waves (1873-1961),de_forest.n.01,Decker,English dramatist and pamphleteer (1572-1632),dekker.n.01,Delacroix,French romantic painter (1798-1863),delacroix.n.01,Delbruck,United States biologist (born in Germany) who studied how viruses infect living cells (1906-1981),delbruck.n.01,Dewar,Scottish chemist and physicist noted for his work in cryogenics and his invention of the Dewar flask (1842-1923),dewar.n.02,Dewey,United States pragmatic philosopher who advocated progressive education (1859-1952),dewey.n.03,Dewey,a United States naval officer remembered for his victory at Manila Bay in the Spanish-American War,dewey.n.02,Admiral Dewey,a United States naval officer remembered for his victory at Manila Bay in the Spanish-American War,dewey.n.02,Dewey,United States librarian who founded the decimal system of classification (1851-1931),dewey.n.01,Diaz,Portuguese explorer who in 1488 was the first European to get round the Cape of Good Hope (thus establishing a sea route from the Atlantic to Asia) (1450-1500),dias.n.01,Dickens,English writer whose novels depicted and criticized social injustice (1812-1870),dickens.n.02,Dickinson,United States poet noted for her mystical and unrhymed poems (1830-1886),dickinson.n.01,lam,a rapid escape (as by criminals),goldNo,Kabul,the capital and largest city of Afghanistan; located in eastern Afghanistan,goldYes
Dietrich,United States film actress (born in Germany) who made many films with Josef von Sternberg and later was a successful cabaret star (1901-1992),dietrich.n.01,Disraeli,British statesman who as Prime Minister bought controlling interest in the Suez Canal and made Queen Victoria the empress of India (1804-1881),disraeli.n.01,Dix,United States social reformer who pioneered in the reform of prisons and in the treatment of the mentally ill; superintended women army nurses during the American Civil War (1802-1887),dix.n.01,Dolby,United States electrical engineer who devised the Dolby system used to reduce background noise in tape recording,dolby.n.01,Donkin,English engineer who developed a method of preserving food by sterilizing it with heat and sealing it inside a steel container--the first tin can (1768-1855),donkin.n.01,Doolittle,United States Air Force officer who electrified the world in 1942 by leading a squadron of 16 bombers on a daylight raid over Tokyo (1896-1993),doolittle.n.01,Douglas,United States politician who proposed that individual territories be allowed to decide whether they would have slavery; he engaged in a famous series of debates with Abraham Lincoln (1813-1861),douglas.n.01,Douglass,United States abolitionist who escaped from slavery and became an influential writer and lecturer in the North (1817-1895),douglass.n.01,Dowdy,British marshal of the RAF who commanded the British air defense forces that defeated the Luftwaffe during the Battle of Britain (1882-1970),dowding.n.01,Down,English physician who first described Down's syndrome (1828-1896),down.n.03,Downing,United States landscape architect who designed the grounds of the White House and the Capitol Building (1815-1852),downing.n.01,Drake,English explorer and admiral who was the first Englishman to circumnavigate the globe and who helped to defeat the Spanish Armada (1540-1596),drake.n.01,Dryden,the outstanding poet and dramatist of the Restoration (1631-1700),dryden.n.01,hit,a conspicuous success,goldNo,Kandahar,a city in southern Afghanistan; an important trading center,goldYes,Dulles,United States diplomat who (as Secretary of State) pursued a policy of opposition to the USSR by providing aid to American allies (1888-1959),dulles.n.01,Dumas,French writer remembered for his swashbuckling historical tales (1802-1870),dumas.n.01,Duncan,United States dancer and pioneer of modern dance (1878-1927),duncan.n.01,Durant,United States historian (1885-1981),durant.n.01,Eastman,United States inventor of a dry-plate process of developing photographic film and of flexible film (his firm introduced roll film) and of the box camera and of a process for color photography (1854-1932),eastman.n.01
Eccles,Australian physiologist noted for his research on the conduction of impulses by nerve cells (1903-1997),eccles.n.01,Eddington,English astronomer remembered for his popular elucidation of relativity theory (1882-1944),eddington.n.01,Edison,United States inventor; inventions included the phonograph and incandescent electric light and the microphone and the Kinetoscope (1847-1931),edison.n.01,Edwards,American theologian whose sermons and writings stimulated a period of renewed interest in religion in America (1703-1758),edwards.n.01,Ehrenberg,Russian novelist (1891-1967),ehrenberg.n.01,Eliot,British writer of novels characterized by realistic analysis of provincial Victorian society (1819-1880),eliot.n.02,Eliot,British poet (born in the United States) who won the Nobel prize for literature; his plays are outstanding examples of modern verse drama (1888-1965),eliot.n.01,Elizabeth,Queen of England from 1558 to 1603; daughter of Henry VIII and Anne Boleyn; she succeeded Mary I (who was a Catholic) and restored Protestantism to England; during her reign Mary Queen of Scots was executed and the Spanish Armada was defeated; her reign was marked by prosperity and literary genius (1533-1603),elizabeth.n.02,Elizabeth,daughter of George VI who became the Queen of England and Northern Ireland in 1952 on the death of her father (1926-),elizabeth.n.01,Ellington,United States jazz composer and piano player and bandleader (1899-1974),ellington.n.01,Ellsworth,United States jurist and the third chief justice of the United States Supreme Court (1745-1807),ellsworth.n.01,Endicott,born in England; in 1629 he became the founder of the Massachusetts Bay Colony (1588-1665),endecott.n.01,George Enescu,Romanian violinist and composer (1881-1955),enesco.n.01,Engels,socialist who wrote the Communist Manifesto with Karl Marx in 1848 (1820-1895),engels.n.01,Erving,United States basketball forward (born in 1950),erving.n.01,Euclid,Greek geometer (3rd century BC),euclid.n.01,Eugene,Austrian general in the service of the Holy Roman Empire during the War of the Spanish Succession (1663-1736),eugene.n.01,bloomer,an embarrassing mistake,goldNo,Qandahar,a city in southern Afghanistan; an important trading center,goldYes,Evans,British archaeologist who excavated the palace of Knossos in Crete to find what he called Minoan civilization (1851-1941),evans.n.02
Evans,United States anatomist who identified four pituitary hormones and discovered vitamin E (1882-1971),evans.n.01,Fairbanks,United States film actor noted for his swashbuckling roles (1883-1939),fairbanks.n.02,Fairbanks,United States film actor; son of Douglas Elton Fairbanks (1909-2000),fairbanks.n.01,Falla,Spanish composer and pianist (1876-1946),falla.n.01,Farragut,United States admiral who commanded Union ships during the American Civil War (1801-1870),farragut.n.01,Farrell,United States operatic soprano noted for the clarity and power of her voice (1920-2002),farrell.n.02,Farrell,United States writer remembered for his novels (1904-1979),farrell.n.01,Fatima,youngest daughter of the prophet Mohammed and wife of the fourth calif Ali; revered especially by Shiite Muslims (606-632),fatima.n.01,Faulkner,United States novelist (originally Falkner) who wrote about people in the southern United States (1897-1962),faulkner.n.01,Falkner,United States novelist (originally Falkner) who wrote about people in the southern United States (1897-1962),faulkner.n.01,Ferber,United States novelist; author of several popular novels (1887-1968),ferber.n.01,Fiedler,popular United States conductor (1894-1979),fiedler.n.01,purchase,the acquisition of something for payment,goldNo,Albania,a republic in southeastern Europe on the Adriatic coast of the Balkan Peninsula,goldYes,Fillmore,elected vice president and became the 13th President of the United States when Zachary Taylor died in office (1800-1874),fillmore.n.01,Fitzgerald,United States scat singer (1917-1996),fitzgerald.n.03,Fitzgerald,United States author whose novels characterized the Jazz Age in the United States (1896-1940),fitzgerald.n.02,Fitzgerald,English poet remembered primarily for his free translation of the poetry of Omar Khayyam (1809-1883),fitzgerald.n.01,Fleming,Scottish bacteriologist who discovered penicillin (1881-1955),fleming.n.02,Fleming,British writer famous for writing spy novels about secret agent James Bond (1908-1964),fleming.n.01
assumption,the act of taking possession of or power over something,goldNo,Tirana,the capital and largest city of Albania in the center of the country,goldYes,Fletcher,prolific English dramatist who collaborated with Francis Beaumont and many other dramatists (1579-1625),fletcher.n.01,Flinders,British explorer who mapped the Australian coast (1774-1814),flinders.n.01,Florey,British pathologist who isolated and purified penicillin which had been discovered in 1928 by Sir Alexander Fleming (1898-1968),florey.n.01,Fonda,United States film actor (1905-1982),fonda.n.02,Fonda,United States film actress and daughter of Henry Fonda (born in 1937),fonda.n.01,Foster,United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864),foster.n.01,Fowler,English lexicographer who wrote a well-known book on English usage (1858-1933),fowler.n.01,France,French writer of sophisticated novels and short stories (1844-1924),france.n.02,Saint Francis,(Roman Catholic Church) an Italian and the Roman Catholic monk who founded the Franciscan order of friars (1181-1226),francis_of_assisi.n.01,Franklin,printer whose success as an author led him to take up politics; he helped draw up the Declaration of Independence and the Constitution; he played a major role in the American Revolution and negotiated French support for the colonists; as a scientist he is remembered particularly for his research in electricity (1706-1790),franklin.n.02,Franklin,United States historian noted for studies of Black American history (born in 1915),franklin.n.01,Frazer,English social anthropologist noted for studies of primitive religion and magic (1854-1941),frazer.n.01,Fremont,United States explorer who mapped much of the American west and Northwest (1813-1890),fremont.n.01,Frye,Canadian literary critic interested in the use of myth and symbolism (1912-1991),frye.n.01,Fulbright,United States senator who is remembered for his creation of grants that fund exchange programs of teachers and students between the United States and other countries (1905-1995),fulbright.n.01,Fulton,American inventor who designed the first commercially successful steamboat and the first steam warship (1765-1815),fulton.n.01,Gagarin,Soviet cosmonaut who in 1961 was the first person to travel in space (1934-1968),gagarin.n.01,Gainsborough,English portrait and landscape painter (1727-1788),gainsborough.n.01
Galbraith,United States economist (born in Canada) who served as ambassador to India (born in 1908),galbraith.n.01,Galton,English scientist (cousin of Charles Darwin) who explored many fields including heredity meteorology statistics psychology and anthropology; founder of eugenics and first to use fingerprints for identification (1822-1911),galton.n.01,Lorca,Spanish poet and dramatist who was shot dead by Franco's soldiers soon after the start of the Spanish Civil War (1898-1936),garcia_lorca.n.01,Gardiner,British historian remembered for his ten-volume history of England (1829-1902),gardiner.n.01,Gardner,writer of detective novels featuring Perry Mason (1889-1970),gardner.n.02,Gardner,United States collector and patron of art who built a museum in Boston to house her collection and opened it to the public in 1903 (1840-1924),gardner.n.01,Garfield,20th President of the United States; assassinated by a frustrated office-seeker (1831-1881),garfield.n.01,Garibaldi,Italian patriot whose conquest of Sicily and Naples led to the formation of the Italian state (1807-1882),garibaldi.n.01,Garland,United States singer and film actress (1922-1969),garland.n.01,Gates,United States computer entrepreneur whose software company made him the youngest multi-billionaire in the history of the United States (born in 1955),gates.n.01,Geiger,German physicist who developed the Geiger counter (1882-1945),geiger.n.01,George,Elector of Hanover and the first Hanoverian King of Great Britain and Ireland from 1714 to 1727 (1660-1727),george.n.07,George,King of Great Britain and Elector of Hanover from 1727 to 1760 (1683-1760),george.n.06,George,King of Great Britain and Ireland from 1760 to 1820; the American colonies were lost during his reign; he became insane in 1811 and his son (later George IV) acted as regent until 1820 (1738-1820),george.n.05,George,King of Great Britain and Ireland and Hanover from 1820 to 1830; his attempt to divorce his estranged wife undermined the prestige of the Crown (1762-1830),george.n.04,George IV,King of Great Britain and Ireland and Hanover from 1820 to 1830; his attempt to divorce his estranged wife undermined the prestige of the Crown (1762-1830),george.n.04,George,King of Great Britain and Ireland and emperor of India from 1910 to 1936; gave up his German title in 1917 during World War I (1865-1936),george.n.03,George V,King of Great Britain and Ireland and emperor of India from 1910 to 1936; gave up his German title in 1917 during World War I (1865-1936),george.n.03,assumption,the act of assuming or taking for granted,goldNo,Algeria,a republic in northwestern Africa on the Mediterranean Sea with a population that is predominantly Sunni Muslim; colonized by France in the 19th century but gained autonomy in the early 1960s,goldYes
George,King of Great Britain and Ireland and emperor of India from 1936 to 1947; he succeeded Edward VIII (1895-1952),george.n.02,George,Christian martyr; patron saint of England; hero of the legend of Saint George and the Dragon in which he slew a dragon and saved a princess (?-303),george.n.01,Saint George,Christian martyr; patron saint of England; hero of the legend of Saint George and the Dragon in which he slew a dragon and saved a princess (?-303),george.n.01,Gibbs,United States chemist (1839-1903),gibbs.n.01,Gibson,United States tennis player who was the first Black woman player to win all the major world singles titles (1927-2003),gibson.n.03,Gibson,Australian actor (born in the United States in 1956),gibson.n.02,Gibson,United States illustrator remembered for his creation of the `Gibson girl' (1867-1944),gibson.n.01,Gilbert,United States architect who influenced the development of the skyscraper (1859-1934),gilbert.n.05,Gilbert,English navigator who in 1583 established in Newfoundland the first English colony in North America (1539-1583),gilbert.n.04,Gilbert,English court physician noted for his studies of terrestrial magnetism (1540-1603),gilbert.n.03,Gilbert,a librettist who was a collaborator with Sir Arthur Sullivan in a famous series of comic operettas (1836-1911),gilbert.n.02,Gillespie,United States jazz trumpeter and exponent of bebop (1917-1993),gillespie.n.01,Gillette,United States inventor and manufacturer who developed the safety razor (1855-1932),gillette.n.01,Gilman,United States feminist (1860-1935),gilman.n.01,Gilmer,United States journalist who wrote a syndicated column of advice to the lovelorn (1870-1951),gilmer.n.01,Girard,United States financier (born in France) who helped finance the War of 1812 (1750-1831),girard.n.01,Gladstone,liberal British statesman who served as prime minister four times (1809-1898),gladstone.n.01,conversion,a spiritual enlightenment causing a person to lead a new life,goldNo,Algiers,an ancient port on the Mediterranean; the capital and largest city of Algeria,goldYes,Glendower,Welsh chieftain who led a revolt against Henry IV's rule in Wales (1359-1416),glendower.n.01
Glinka,Russian composer (1804-1857),glinka.n.01,Godard,French film maker influenced by surrealism; early work explored the documentary use of film; noted for innovative techniques (born in 1930),godard.n.01,Goldberg,United States cartoonist who drew intricate diagrams of very complicated and impractical contraptions that accomplished little or nothing (1883-1970),goldberg.n.01,magic,an illusory feat; considered magical by naive observers,goldNo,Batna,a town in north central Algeria,goldYes,Goldman,United States anarchist (born in Russia) who opposed conscription; was deported to the Soviet Union in 1919 (1869-1940),goldman.n.01,Goncourt,French writer who collaborated with his brother Jules de Goncourt on many books and who in his will established the Prix Goncourt (1822-1896),goncourt.n.02,Goncourt,French writer who collaborated with his brother Edmond de Goncourt on many books (1830-1870),goncourt.n.01,Goodall,English zoologist noted for her studies of chimpanzees in the wild (born in 1934),goodall.n.01,Goodman,United States clarinetist who in 1934 formed a big band (including black as well as white musicians) and introduced a kind of jazz known as swing (1909-1986),goodman.n.01,Goodyear,United States inventor of vulcanized rubber (1800-1860),goodyear.n.01,Gore,Vice President of the United States under Bill Clinton (born in 1948),gore.n.01,Gorgas,United States Army surgeon who suppressed yellow fever in Havana and in the Panama Canal Zone (1854-1920),gorgas.n.01,Goering,German politician in Nazi Germany who founded the Gestapo and mobilized Germany for war (1893-1946),goring.n.01,Gould,United States financier who gained control of the Erie Canal and who caused a financial panic in 1869 when he attempted to corner the gold market (1836-1892),gould.n.02,Gould,United States paleontologist and popularizer of science (1941-2002),gould.n.01,Goya,Spanish painter well known for his portraits and for his satires (1746-1828),goya.n.01,Graham,United States dancer and choreographer whose work was noted for its austerity and technical rigor (1893-1991),graham.n.02,Graham,United States evangelical preacher famous as a mass evangelist (born in 1918),graham.n.01,Gram,Danish physician and bacteriologist who developed a method of staining bacteria to distinguish among them (1853-1938),gram.n.02
Grass,German writer of novels and poetry and plays (born 1927),grass.n.02,Gray,United States botanist who specialized in North American flora and who was an early supporter of Darwin's theories of evolution (1810-1888),gray.n.09,Gray,American navigator who twice circumnavigated the globe and who discovered the Columbia River (1755-1806),gray.n.08,Gray,English poet best known for his elegy written in a country churchyard (1716-1771),gray.n.07,Gray,English radiobiologist in whose honor the gray (the SI unit of energy for the absorbed dose of radiation) was named (1905-1965),gray.n.06,Greeley,United States journalist with political ambitions (1811-1872),greeley.n.01,Green,United States labor leader who was president of the American Federation of Labor from 1924 to 1952 and who led the struggle with the Congress of Industrial Organizations (1873-1952),green.n.03,Greene,English novelist and Catholic (1904-1991),greene.n.01,bender,a pitch of a baseball that is thrown with spin so that its path curves as it approaches the batter,goldNo,Blida,a city in northern Algeria at the foot of the Atlas Mountains to the southwest of Algiers,goldYes,Gregory,(Roman Catholic Church) an Italian pope distinguished for his spiritual and temporal leadership; a saint and Doctor of the Church (540?-604),gregory.n.06,Gregory,the Italian pope who fought to establish the supremacy of the pope over the Roman Catholic Church and the supremacy of the church over the state (1020-1085),gregory.n.05,Gregory,the Italian pope from 1406 to 1415 who worked to end the Great Schism and who retired to make it possible (1327-1417),gregory.n.04,Gregory,the pope who sponsored the introduction of the modern calendar (1572-1585),gregory.n.03,Gregory,Italian pope from 1831 to 1846; conservative in politics and theology; worked to propagate Catholicism in England and the United States (1765-1846),gregory.n.02,Gregory,(Roman Catholic Church) a church father known for his constant fight against perceived heresies; a saint and Doctor of the Church (329-391),gregory.n.01,Gresham,English financier (1519-1579),gresham.n.01,Griffith,United States film maker who was the first to use flashbacks and fade-outs (1875-1948),griffith.n.01,Groves,United States general who served as military director of the atomic bomb project (1896-1970),groves.n.01,Gustavus,king of Sweden who established Lutheranism as the state religion (1496-1560),gustavus.n.06
raise,the act of raising something,goldNo,Oran,a port city in northwestern Algeria and the country's 2nd largest city,goldYes,Gustavus,king of Sweden whose victories in battle made Sweden a European power; his domestic reforms made Sweden a modern state; in 1630 he intervened on the Protestant side of the Thirty Years' War and was killed in the battle of Lutzen (1594-1632),gustavus.n.05,Gustavus,king of Sweden who increased the royal power and waged an unpopular war against Russia (1746-1792),gustavus.n.04,Gustavus,king of Sweden whose losses to Napoleon I led to his being deposed in 1809 (1778-1837),gustavus.n.03,Gustavus,king of Sweden who kept Sweden neutral during both World War I and II (1858-1950),gustavus.n.02,Gustavus,the last king of Sweden to have any real political power (1882-1973),gustavus.n.01,Gutenberg,German printer who was the first in Europe to print using movable type and the first to use a press (1400-1468),gutenberg.n.01,Guthrie,United States folk singer and songwriter (1912-1967),guthrie.n.01,Gwynn,English comedienne and mistress of Charles II (1650-1687),gwynn.n.01,Adrian,Roman Emperor who was the adoptive son of Trajan; travelled throughout his empire to strengthen its frontiers and encourage learning and architecture; on a visit to Britain in 122 he ordered the construction of Hadrian's Wall (76-138),hadrian.n.01,Haldane,Scottish statesman and brother of Elizabeth and John Haldane (1856-1928),haldane.n.04,Haldane,Scottish writer and sister of Richard Haldane and John Haldane (1862-1937),haldane.n.03,Haldane,Scottish physiologist and brother of Richard Haldane and Elizabeth Haldane; noted for research into industrial diseases (1860-1936),haldane.n.02,Haldane,Scottish geneticist (son of John Haldane) who contributed to the development of population genetics; a popularizer of science and a Marxist (1892-1964),haldane.n.01,Hale,prolific United States writer (1822-1909),hale.n.03,Hale,United States astronomer who discovered that sunspots are associated with strong magnetic fields (1868-1938),hale.n.02,Hale,a soldier of the American Revolution who was hanged as a spy by the British; his last words were supposed to have been `I only regret that I have but one life to give for my country' (1755-1776),hale.n.01,Haley,United States writer and Afro-American who wrote a fictionalized account of tracing his family roots back to Africa (1921-1992),haley.n.02,Haley,United States rock singer who was one of the first to popularize rock'n'roll music (1925-1981),haley.n.01
spring,a light self-propelled movement upwards or forwards,goldNo,Djanet,a desert town in southeastern Algeria,goldYes,Hall,United States astronomer who discovered Phobos and Deimos (the two satellites of Mars) (1829-1907),hall.n.10,Hall,United States explorer who led three expeditions to the Arctic (1821-1871),hall.n.09,Hall,United States chemist who developed an economical method of producing aluminum from bauxite (1863-1914),hall.n.08,Hall,United States child psychologist whose theories of child psychology strongly influenced educational psychology (1844-1924),hall.n.07,Hall,English writer whose novel about a lesbian relationship was banned in Britain for many years (1883-1943),hall.n.06,Hals,Dutch portrait and genre painter who endowed his portraits with vitality and humor (1580?-1666),hals.n.01,Hamilton,United States statesman and leader of the Federalists; as the first Secretary of the Treasury he establish a federal bank; was mortally wounded in a duel with Aaron Burr (1755-1804),hamilton.n.04,Hamilton,United States toxicologist known for her work on industrial poisons (1869-1970),hamilton.n.03,Hamilton,English beauty who was the mistress of Admiral Nelson (1765-1815),hamilton.n.02,Hamilton,Irish mathematician (1806-1865),hamilton.n.01,Hammerstein,United States lyricist who collaborated on many musical comedies (most successfully with Richard Rodgers) (1895-1960),hammerstein.n.01,Hampton,United States musician who was the first to use the vibraphone as a jazz instrument (1913-2002),hampton.n.01,Hancock,American revolutionary patriot who was president of the Continental Congress; was the first signer of the Declaration of Independence (1737-1793),hancock.n.01,Hannibal,general who commanded the Carthaginian army in the second Punic War; crossed the Alps and defeated the Romans but was recalled to defend Carthage and was defeated (247-182 BC),hannibal.n.01,Harding,29th President of the United States; two of his appointees were involved in the Teapot Dome scandal (1865-1823),harding.n.01,Hardy,English novelist and poet (1840-1928),hardy.n.02,Hardy,United States slapstick comedian who played the pompous and overbearing member of the Laurel and Hardy duo who made many films (1892-1957),hardy.n.01,Harlow,United States film actress who made several films with Clark Gable (1911-1937),harlow.n.01
Harriman,United States railway tycoon (1848-1909),harriman.n.02,Harriman,United States financier who negotiated a treaty with the Soviet Union banning tests of nuclear weapons (1891-1986),harriman.n.01,Harris,publisher of the first newspaper printed in America (1673-1713),harris.n.06,Harris,British marshal of the Royal Air Force; during World War II he directed mass bombing raids against German cities that resulted in heavy civilian casualties (1892-1984),harris.n.05,Harris,Irish writer noted for his sexually explicit but unreliable autobiography (1856-1931),harris.n.04,Harris,United States diplomat who was instrumental in opening Japan to foreign trade (1804-1878),harris.n.03,Harris,United States linguist (born in Ukraine) who developed mathematical linguistics and interpreted speech and writing in a social context (1909-1992),harris.n.02,Harris,United States author who wrote the stories about Uncle Remus (1848-1908),harris.n.01,wheeling,propelling something on wheels,goldNo,Reggane,a town in central Algeria,goldYes,Harrison,9th President of the United States; caught pneumonia during his inauguration and died shortly after (1773-1841),harrison.n.04,Harrison,23rd President of the United States (1833-1901),harrison.n.03,Harrison,English rock star; lead guitarist of the Beatles (1943-2001),harrison.n.02,Harrison,English actor on stage and in films (1908-1990),harrison.n.01,Harrod,English merchant who took over a shop in London that was expanded by his son into a prestigious department store (1800-1885),harrod.n.02,Harrod,English merchant who expanded his father's shop in London into a prestigious department store (1841-1905),harrod.n.01,Hartley,English philosopher who introduced the theory of the association of ideas (1705-1757),hartley.n.01,Harvard,American philanthropist who left his library and half his estate to the Massachusetts college that now bears his name (1607-1638),harvard.n.02,Harvey,English physician and scientist who described the circulation of the blood; he later proposed that all animals originate from an ovum produced by the female of the species (1578-1657),harvey.n.01,Hassel,Norwegian chemist noted for his research on organic molecules (1897-1981),hassel.n.01
Hastings,United States architect who formed and important architectural firm with John Merven Carrere (1860-1929),hastings.n.01,Hathaway,wife of William Shakespeare (1556-1623),hathaway.n.01,Havel,Czech dramatist and statesman whose plays opposed totalitarianism and who served as president of Czechoslovakia from 1989 to 1992 and president of the Czech Republic since 1993 (born in 1936),havel.n.01,Haworth,English biochemist who was a pioneer in research on carbohydrates; when he synthesized vitamin C he became the first person to synthesize a vitamin artificially (1883-1950),haworth.n.01,Hawthorne,United States writer of novels and short stories mostly on moral themes (1804-1864),hawthorne.n.01,Hays,United States lawyer involved in several famous court trials (1881-1954),hays.n.02,Hays,United States lawyer and politician who formulated a production code that prescribed the moral content of United States films from 1930 to 1966 (1879-1954),hays.n.01,Haywood,United States labor leader and militant socialist who was one of the founders of the Industrial Workers of the World (1869-1928),haywood.n.01,Hearst,United States newspaper publisher whose introduction of large headlines and sensational reporting changed American journalism (1863-1951),hearst.n.01,Heming,English actor who edited the first folio of Shakespeare's plays (1556-1630),heming.n.01,Hemingway,an American writer of fiction who won the Nobel prize for literature in 1954 (1899-1961),hemingway.n.01,Hendrix,United States guitarist whose innovative style with electric guitars influenced the development of rock music (1942-1970),hendrix.n.01,Bolingbroke,the first Lancastrian king of England from 1399 to 1413; deposed Richard II and suppressed rebellions (1367-1413),henry_iv.n.03,Henson,United States puppeteer who created a troupe of puppet characters (1936-1990),henson.n.01,Hepworth,British sculptor (1902-1975),hepworth.n.01,Herman,United States jazz musician and bandleader (1913-1987),herman.n.01,Heron,Greek mathematician and inventor who devised a way to determine the area of a triangle and who described various mechanical devices (first century),hero.n.04,Herrick,English lyric poet (1591-1674),herrick.n.01,rolling,propelling something on wheels,goldNo,Timgad,an ancient town founded by the Romans; noted for extensive and well-preserved ruins,goldYes
Herzberg,Canadian physicist (born in Germany) noted for contributions to understanding the structure of molecules (born in 1904),herzberg.n.01,Hesse,Swiss writer (born in Germany) whose novels and poems express his interests in eastern spiritual values (1877-1962),hesse.n.01,Higginson,United States writer and soldier who led the first Black regiment in the Union Army (1823-1911),higginson.n.01,Hilbert,German mathematician (1862-1943),hilbert.n.01,Hitchcock,English film director noted for his skill in creating suspense (1899-1980),hitchcock.n.01,Hobbs,notable English cricketer (1882-1963),hobbs.n.01,Ho Chi Minh,Vietnamese communist statesman who fought the Japanese in World War II and the French until 1954 and South Vietnam until 1975 (1890-1969),ho_chi_minh.n.01,Homer,ancient Greek epic poet who is believed to have written the Iliad and the Odyssey (circa 850 BC),homer.n.02,Homer,United States painter best known for his seascapes (1836-1910),homer.n.04,Hooke,English scientist who formulated the law of elasticity and proposed a wave theory of light and formulated a theory of planetary motion and proposed the inverse square law of gravitational attraction and discovered the cellular structure of cork and introduced the term `cell' into biology and invented a balance spring for watches (1635-1703),hooke.n.01,Hooker,English theologian (1554-1600),hooker.n.02,Hooker,United States general in the Union Army who was defeated at Chancellorsville by Robert E. Lee (1814-1879),hooker.n.01,Hoover,31st President of the United States; in 1929 the stock market crashed and the economy collapsed and Hoover was defeated for reelection by Franklin Roosevelt (1874-1964),hoover.n.03,Hoover,United States lawyer who was director of the FBI for 48 years (1895-1972),hoover.n.02,Hoover,United States industrialist who manufactured vacuum cleaners (1849-1932),hoover.n.01,Hope,United States comedian (born in England) who appeared in films with Bing Crosby (1903-2003),hope.n.05,hit,the act of contacting one thing with another,goldNo,Timimoun,a town in central Algeria in the Atlas Mountains,goldYes,Hopkins,Welsh film actor (born in 1937),hopkins.n.05,Hopkins,English biochemist who did pioneering work that led to the discovery of vitamins (1861-1947),hopkins.n.04
Hopkins,English poet (1844-1889),hopkins.n.03,Hopkins,United States financier and philanthropist who left money to found the university and hospital that bear his name in Baltimore (1795-1873),hopkins.n.02,Hopkins,United States educator and theologian (1802-1887),hopkins.n.01,Horta,Belgian architect and leader in art nouveau architecture (1861-1947),horta.n.01,Houghton,United States publisher who founded a printing shop that became an important book publisher (1823-1895),houghton.n.01,Houston,United States politician and military leader who fought to gain independence for Texas from Mexico and to make it a part of the United States (1793-1863),houston.n.02,Howard,Queen of England as the fifth wife of Henry VIII who was accused of adultery and executed (1520-1542),howard.n.02,Howard,English actor of stage and screen (1893-1943),howard.n.01,Howe,United States inventor who built early sewing machines and won suits for patent infringement against other manufacturers (including Isaac M. Singer) (1819-1867),howe.n.04,Howe,United States feminist who was active in the women's suffrage movement (1819-1910),howe.n.03,Howe,Canadian hockey player who holds the record for playing the most games (born 1928),howe.n.02,Howe,United States editor (1920-1993),howe.n.01,Howells,United States writer and editor (1837-1920),howells.n.01,best,the supreme effort one can make,goldNo,Angola,a republic in southwestern Africa on the Atlantic Ocean; achieved independence from Portugal in 1975 and was the scene of civil war until 1990,goldYes,Hubbard,a United States writer of science fiction and founder of Scientology (1911-1986),hubbard.n.01,Hudson,English navigator who discovered the Hudson River; in 1610 he attempted to winter in Hudson Bay but his crew mutinied and set him adrift to die (1565-1611),hudson.n.03,Hudson,English naturalist (born in Argentina) (1841-1922),hudson.n.02,Hughes,United States jurist who served as chief justice of the United States Supreme Court (1862-1948),hughes.n.04,Hughes,United States industrialist who was an aviator and a film producer; during the last years of his life he was a total recluse (1905-1976),hughes.n.03
